player,season,nation,pos,age,Matches Played,Avg Mins per Match,Rating,Goals,Assists,Expected Goals,Progressive Passes,Tackles Won,Interceptions,Saves
Aaron Connolly,2019,Ireland,FW,19,24,1258.0,6.680000000000001,3,1,4.0,10,6,0,0
Aaron Connolly,2020,Ireland,FW,20,17,791.0,6.62,2,1,4.0,4,3,0,0
Aaron Connolly,2021,Ireland,FW,21,4,156.0,6.633504863982215,0,0,0.4,1,0,0,0
Aaron Cresswell,2017,England,DF,27,36,3069.0,6.86,1,3,0.8,128,21,44,0
Aaron Cresswell,2018,England,DF,28,20,1589.0,6.8100000000000005,0,1,0.5,94,16,23,0
Aaron Cresswell,2019,England,DF,29,31,2727.0,6.709999999999999,3,0,1.4,166,26,35,0
Aaron Cresswell,2020,England,DF,30,36,3170.0,7.1,0,8,1.0,162,13,32,0
Aaron Cresswell,2021,England,DF,31,31,2726.0,7.01,2,3,1.1,186,18,35,0
Aaron Cresswell,2022,England,DF,32,28,2235.0,6.88,0,1,0.3,145,11,27,0
Aaron Cresswell,2023,England,DF,33,11,436.0,6.676941991539909,0,0,0.0,26,2,3,0
Aaron Hunt,2017,Germany,MF,30,28,2081.0,7.06,3,2,2.8,134,24,14,0
Aaron Lennon,2017,England,MF,30,29,955.5,6.5,0,2,0.8,47,24,19,0
Aaron Lennon,2018,England,MF,31,16,1215.0,6.61,1,1,0.8,18,16,10,0
Aaron Lennon,2019,England,MF,32,16,496.0,6.48,0,0,0.0,7,8,8,0
Aaron Lennon,2021,England,MF,34,28,1551.0,6.58,2,0,1.1,19,17,9,0
Aaron Leya Iseka,2018,Belgium,FW,20,28,1444.0,6.6,4,0,3.9,20,4,1,0
Aaron Leya Iseka,2019,Belgium,FW,21,22,777.0,6.52,2,0,5.0,12,0,1,0
Aaron Leya Iseka,2020,Belgium,FW,22,21,1008.0,6.64,4,0,4.8,12,4,0,0
Aaron Mooy,2017,Australia,MF,26,36,3067.0,7.0200000000000005,4,3,3.0,239,60,38,0
Aaron Mooy,2018,Australia,MF,27,29,2330.0,6.96,3,1,2.8,154,42,14,0
Aaron Mooy,2019,Australia,MF,28,31,2085.0,6.85,2,2,2.3,158,24,23,0
Aaron Ramsdale,2019,England,GK,21,37,3330.0,6.9,0,1,0.0,0,3,0,124
Aaron Ramsdale,2020,England,GK,22,38,3420.0,6.87,0,0,0.0,0,1,2,145
Aaron Ramsdale,2021,England,GK,23,34,3060.0,6.92,0,0,0.0,1,1,0,90
Aaron Ramsdale,2022,England,GK,24,38,3420.0,6.86,0,0,0.0,8,1,0,94
Aaron Ramsdale,2023,England,GK,25,6,540.0,6.665919464564591,0,0,0.0,2,0,0,9
Aaron Ramsey,2017,Wales,MF,26,24,1846.0,7.28,7,8,6.1,134,27,24,0
Aaron Ramsey,2018,Wales,MF,27,28,1331.0,6.86,4,6,3.4,88,18,9,0
Aaron Ramsey,2019,Wales,MF,28,24,1051.0,6.8,3,1,2.5,58,15,11,0
Aaron Ramsey,2020,Wales,MF,29,22,1089.0,6.97,2,4,4.2,72,14,7,0
