player,season,nation,age,Matches Played,Avg Mins per Match,Rating,Goals,Assists,Expected Goals,Progressive Passes,Tackles Won,Interceptions,Saves,prev_1_rating,prev_2_rating,rating_change_1yr,rolling_avg_3yr,Goals_per_90,Assists_per_90,Expected Goals_per_90,Progressive Passes_per_90,Tackles Won_per_90,Interceptions_per_90,Saves_per_90,age_squared,pos_DF,pos_FW,pos_GK,pos_MF,next_season_rating
Aaron Connolly,2019,Ireland,19,24,1258.0,6.680000000000001,3,1,4.0,10,6,0,0,,,,6.680000000000001,0.2146263910969793,0.07154213036565978,0.2861685214626391,0.7154213036565977,0.4292527821939586,0.0,0.0,361,False,True,False,False,6.62
Aaron Connolly,2020,Ireland,20,17,791.0,6.62,2,1,4.0,4,3,0,0,6.680000000000001,,,6.65,0.22756005056890014,0.11378002528445007,0.45512010113780027,0.45512010113780027,0.3413400758533502,0.0,0.0,400,False,True,False,False,6.633504863982215
Aaron Cresswell,2017,England,27,36,3069.0,6.86,1,3,0.8,128,21,44,0,,,,6.86,0.02932551319648094,0.08797653958944282,0.02346041055718475,3.7536656891495603,0.6158357771260997,1.2903225806451613,0.0,729,True,False,False,False,6.8100000000000005
Aaron Cresswell,2018,England,28,20,1589.0,6.8100000000000005,0,1,0.5,94,16,23,0,6.86,,,6.835000000000001,0.0,0.056639395846444306,0.028319697923222153,5.324103209565765,0.9062303335431089,1.302706104468219,0.0,784,True,False,False,False,6.709999999999999
Aaron Cresswell,2019,England,29,31,2727.0,6.709999999999999,3,0,1.4,166,26,35,0,6.8100000000000005,6.86,-0.04999999999999982,6.793333333333333,0.099009900990099,0.0,0.046204620462046195,5.478547854785479,0.8580858085808581,1.155115511551155,0.0,841,True,False,False,False,7.1
Aaron Cresswell,2020,England,30,36,3170.0,7.1,0,8,1.0,162,13,32,0,6.709999999999999,6.8100000000000005,-0.10000000000000142,6.873333333333334,0.0,0.22712933753943218,0.028391167192429023,4.599369085173501,0.3690851735015773,0.9085173501577287,0.0,900,True,False,False,False,7.01
Aaron Cresswell,2021,England,31,31,2726.0,7.01,2,3,1.1,186,18,35,0,7.1,6.709999999999999,0.39000000000000057,6.939999999999999,0.06603081438004402,0.09904622157006603,0.03631694790902422,6.140865737344094,0.5942773294203962,1.1555392516507703,0.0,961,True,False,False,False,6.88
Aaron Cresswell,2022,England,32,28,2235.0,6.88,0,1,0.3,145,11,27,0,7.01,7.1,-0.08999999999999986,6.996666666666667,0.0,0.04026845637583893,0.012080536912751677,5.838926174496644,0.4429530201342282,1.087248322147651,0.0,1024,True,False,False,False,6.676941991539909
Aaron Lennon,2017,England,30,29,955.5,6.5,0,2,0.8,47,24,19,0,,,,6.5,0.0,0.18838304552590268,0.07535321821036108,4.427001569858713,2.260596546310832,1.7896389324960755,0.0,900,False,False,False,True,6.61
Aaron Lennon,2018,England,31,16,1215.0,6.61,1,1,0.8,18,16,10,0,6.5,,,6.555,0.07407407407407407,0.07407407407407407,0.05925925925925926,1.3333333333333335,1.1851851851851851,0.7407407407407408,0.0,961,False,False,False,True,6.48
Aaron Lennon,2019,England,32,16,496.0,6.48,0,0,0.0,7,8,8,0,6.61,6.5,0.11000000000000032,6.53,0.0,0.0,0.0,1.2701612903225805,1.4516129032258065,1.4516129032258065,0.0,1024,False,False,False,True,6.58
Aaron Leya Iseka,2018,Belgium,20,28,1444.0,6.6,4,0,3.9,20,4,1,0,,,,6.6,0.24930747922437674,0.0,0.24307479224376732,1.2465373961218835,0.24930747922437674,0.062326869806094184,0.0,400,False,True,False,False,6.52
Aaron Leya Iseka,2019,Belgium,21,22,777.0,6.52,2,0,5.0,12,0,1,0,6.6,,,6.56,0.23166023166023164,0.0,0.5791505791505791,1.38996138996139,0.0,0.11583011583011582,0.0,441,False,True,False,False,6.64
Aaron Mooy,2017,Australia,26,36,3067.0,7.0200000000000005,4,3,3.0,239,60,38,0,,,,7.0200000000000005,0.11737854581023802,0.0880339093576785,0.0880339093576785,7.0133681121617215,1.7606781871535702,1.1150961851972612,0.0,676,False,False,False,True,6.96
Aaron Mooy,2018,Australia,27,29,2330.0,6.96,3,1,2.8,154,42,14,0,7.0200000000000005,,,6.99,0.11587982832618027,0.03862660944206008,0.10815450643776824,5.948497854077253,1.6223175965665235,0.5407725321888412,0.0,729,False,False,False,True,6.85
Aaron Ramsdale,2019,England,21,37,3330.0,6.9,0,1,0.0,0,3,0,124,,,,6.9,0.0,0.027027027027027025,0.0,0.0,0.08108108108108109,0.0,3.3513513513513513,441,False,False,True,False,6.87
