Player Name,Rating,Successful Dribbles,Successful Dribbles (%),Big Chances Missed,Big Chances Created,Possession Lost,Team Name,League,Season
Joshua Kimmich,7.73,13,61.9,0,11,495,FC Bayern München,Bundesliga,2022-2023
Jonas Hofmann,7.47,14,46.67,6,14,486,Borussia M'gladbach,Bundesliga,2022-2023
Dominik Szoboszlai,7.42,53,56.38,3,14,448,RB Leipzig,Bundesliga,2022-2023
Vincenzo Grifo,7.41,42,66.67,3,10,457,SC Freiburg,Bundesliga,2022-2023
Jude Bellingham,7.4,86,67.19,9,8,471,Borussia Dortmund,Bundesliga,2022-2023
Benjamin Pavard,7.36,0,0.0,2,4,295,FC Bayern München,Bundesliga,2022-2023
Raphaël Guerreiro,7.36,27,58.7,2,12,382,Borussia Dortmund,Bundesliga,2022-2023
Niclas Füllkrug,7.3,31,58.49,12,5,496,SV Werder Bremen,Bundesliga,2022-2023
Marvin Ducksch,7.28,15,42.86,9,5,474,SV Werder Bremen,Bundesliga,2022-2023
Maximilian Arnold,7.27,8,61.54,2,8,418,VfL Wolfsburg,Bundesliga,2022-2023
Kingsley Coman,7.27,47,58.75,4,8,273,FC Bayern München,Bundesliga,2022-2023
Nico Schlotterbeck,7.27,11,73.33,2,5,289,Borussia Dortmund,Bundesliga,2022-2023
Konstantinos Mavropanos,7.26,16,50.0,4,2,312,VfB Stuttgart,Bundesliga,2022-2023
Florian Kainz,7.23,33,48.53,0,17,562,1. FC Köln,Bundesliga,2022-2023
Christopher Nkunku,7.23,38,58.46,17,8,236,RB Leipzig,Bundesliga,2022-2023
Borna Sosa,7.23,17,56.67,1,7,433,VfB Stuttgart,Bundesliga,2022-2023
Julian Brandt,7.22,41,53.95,3,11,442,Borussia Dortmund,Bundesliga,2022-2023
Florian Wirtz,7.21,48,58.54,0,9,266,Bayer 04 Leverkusen,Bundesliga,2022-2023
Thomas Müller,7.19,8,47.06,9,15,288,FC Bayern München,Bundesliga,2022-2023
Ellyes Skhiri,7.17,24,75.0,3,3,268,1. FC Köln,Bundesliga,2022-2023
Moussa Diaby,7.15,51,53.13,7,14,423,Bayer 04 Leverkusen,Bundesliga,2022-2023
Willi Orbán,7.14,8,57.14,3,0,320,RB Leipzig,Bundesliga,2022-2023
Eric Maxim Choupo-Moting,7.13,20,76.92,5,3,122,FC Bayern München,Bundesliga,2022-2023
Mats Hummels,7.13,6,60.0,3,1,226,Borussia Dortmund,Bundesliga,2022-2023
Sheraldo Becker,7.13,26,48.15,2,8,392,1. FC Union Berlin,Bundesliga,2022-2023
Frederik Rønnow,7.13,0,0.0,0,0,392,1. FC Union Berlin,Bundesliga,2022-2023
Serge Gnabry,7.11,28,48.28,10,11,292,FC Bayern München,Bundesliga,2022-2023
Niklas Süle,7.11,9,90.0,1,3,195,Borussia Dortmund,Bundesliga,2022-2023
Rafał Gikiewicz,7.1,0,0.0,0,0,308,FC Augsburg,Bundesliga,2022-2023
Matthias Ginter,7.1,2,50.0,1,0,355,SC Freiburg,Bundesliga,2022-2023
Donyell Malen,7.09,51,50.0,10,9,298,Borussia Dortmund,Bundesliga,2022-2023
Julian Chabot,7.09,4,80.0,1,3,215,1. FC Köln,Bundesliga,2022-2023
Ramy Bensebaini,7.08,12,42.86,1,4,403,Borussia M'gladbach,Bundesliga,2022-2023
Randal Kolo Muani,7.08,71,51.08,14,11,480,Eintracht Frankfurt,Bundesliga,2022-2023
Kevin Stöger,7.08,22,51.16,0,8,597,VfL Bochum 1848,Bundesliga,2022-2023
