Player Name,Rating,Successful Dribbles,Successful Dribbles (%),Big Chances Missed,Big Chances Created,Possession Lost,Team Name,League,Season
Eden Hazard,7.84,138,67.32,8,18,662,Chelsea,Premier League,2018-2019
Mohamed Salah,7.44,80,52.98,16,16,622,Liverpool,Premier League,2018-2019
Raheem Sterling,7.42,82,53.95,8,12,488,Manchester City,Premier League,2018-2019
Virgil van Dijk,7.41,9,75.0,1,3,330,Liverpool,Premier League,2018-2019
Sergio Agüero,7.39,45,61.64,10,6,301,Manchester City,Premier League,2018-2019
Trent Alexander-Arnold,7.38,14,51.85,1,11,664,Liverpool,Premier League,2018-2019
James Maddison,7.36,50,68.49,5,13,496,Leicester City,Premier League,2018-2019
Sadio Mané,7.36,51,50.5,11,7,516,Liverpool,Premier League,2018-2019
Ryan Fraser,7.35,24,45.28,2,28,595,Bournemouth,Premier League,2018-2019
Kevin De Bruyne,7.34,19,70.37,0,11,250,Manchester City,Premier League,2018-2019
Lucas Digne,7.33,13,44.83,0,13,722,Everton,Premier League,2018-2019
Willian,7.33,40,64.52,6,10,447,Chelsea,Premier League,2018-2019
David Silva,7.32,31,65.96,6,16,389,Manchester City,Premier League,2018-2019
Riyad Mahrez,7.3,25,62.5,5,9,258,Manchester City,Premier League,2018-2019
Harry Kane,7.29,40,48.78,11,7,328,Tottenham Hotspur,Premier League,2018-2019
David Luiz,7.27,10,58.82,5,11,351,Chelsea,Premier League,2018-2019
Youri Tielemans,7.25,12,66.67,0,6,152,Leicester City,Premier League,2018-2019
İlkay Gündoğan,7.25,19,79.17,1,6,313,Manchester City,Premier League,2018-2019
Gylfi Sigurðsson,7.24,38,56.72,10,11,549,Everton,Premier League,2018-2019
Kieran Trippier,7.23,7,46.67,0,8,545,Tottenham Hotspur,Premier League,2018-2019
Christian Eriksen,7.22,18,50.0,4,10,560,Tottenham Hotspur,Premier League,2018-2019
Joël Matip,7.22,6,75.0,1,1,189,Liverpool,Premier League,2018-2019
Pedro,7.22,44,74.58,2,6,283,Chelsea,Premier League,2018-2019
Luka Milivojević,7.22,13,61.9,2,4,597,Crystal Palace,Premier League,2018-2019
Nicolás Otamendi,7.21,2,100.0,1,0,97,Manchester City,Premier League,2018-2019
Paul Pogba,7.21,60,65.22,7,7,602,Manchester United,Premier League,2018-2019
Philip Billing,7.19,20,52.63,0,1,456,Huddersfield Town,Premier League,2018-2019
Aymeric Laporte,7.19,3,50.0,3,1,266,Manchester City,Premier League,2018-2019
Fernandinho,7.19,19,73.08,2,4,319,Manchester City,Premier League,2018-2019
