Player Name,Rating,Successful Dribbles,Successful Dribbles (%),Big Chances Missed,Big Chances Created,Possession Lost,Team Name,League,Season
Lorenzo Insigne,7.55,65,61.9,10,12,536,Napoli,Serie A,2020-2021
Rodrigo de Paul,7.53,122,67.03,1,20,803,Udinese,Serie A,2020-2021
Cristiano Ronaldo,7.45,58,61.05,27,5,372,Juventus,Serie A,2020-2021
Domenico Berardi,7.43,30,47.62,10,10,446,Sassuolo,Serie A,2020-2021
Zlatan Ibrahimović,7.43,11,50.0,14,2,218,Milan,Serie A,2020-2021
Lorenzo Pellegrini,7.42,40,59.7,3,15,456,Roma,Serie A,2020-2021
Hakan Çalhanoğlu,7.42,36,61.02,1,10,514,Milan,Serie A,2020-2021
Henrikh Mkhitaryan,7.4,48,56.47,8,12,401,Roma,Serie A,2020-2021
Andrea Belotti,7.38,47,58.02,6,13,421,Torino,Serie A,2020-2021
Josip Iličić,7.38,57,57.58,2,20,447,Atalanta,Serie A,2020-2021
Ruslan Malinovskyi,7.37,51,57.95,3,19,439,Atalanta,Serie A,2020-2021
Luis Muriel,7.32,53,58.89,12,6,375,Atalanta,Serie A,2020-2021
Romelu Lukaku,7.32,53,56.99,19,10,416,Inter,Serie A,2020-2021
Marcelo Brozović,7.28,10,83.33,0,9,331,Inter,Serie A,2020-2021
Manuel Locatelli,7.26,27,75.0,0,5,450,Sassuolo,Serie A,2020-2021
Adam Ounas,7.26,76,72.38,3,7,270,Crotone,Serie A,2020-2021
Luis Alberto,7.26,51,53.68,3,10,595,Lazio,Serie A,2020-2021
Ciro Immobile,7.25,27,57.45,16,11,378,Lazio,Serie A,2020-2021
Antonio Candreva,7.21,29,56.86,2,8,631,U.C Sampdoria,Serie A,2020-2021
Juan Cuadrado,7.2,45,66.18,2,17,417,Juventus,Serie A,2020-2021
Federico Chiesa,7.19,54,55.67,5,18,338,Juventus,Serie A,2020-2021
Federico Dimarco,7.19,10,52.63,3,10,605,Hellas Verona,Serie A,2020-2021
Giovanni Di Lorenzo,7.19,30,55.56,4,9,433,Napoli,Serie A,2020-2021
Junior Messias,7.19,105,64.42,7,6,586,Crotone,Serie A,2020-2021
Piotr Zieliński,7.19,58,61.05,2,7,339,Napoli,Serie A,2020-2021
Sergej Milinković-Savić,7.18,30,69.77,8,10,568,Lazio,Serie A,2020-2021
Diego Godín,7.18,16,94.12,0,2,273,Cagliari,Serie A,2020-2021
Fabián Ruiz,7.18,28,82.35,2,0,276,Napoli,Serie A,2020-2021
Franck Kessié,7.18,43,79.63,7,5,348,Milan,Serie A,2020-2021
