Player Name,Rating,Successful Dribbles,Successful Dribbles (%),Big Chances Missed,Big Chances Created,Possession Lost,Team Name,League,Season
Lionel Messi,8.11,102,58.96,12,29,617,Paris Saint-Germain,Ligue 1,2022-2023
Neymar,7.69,38,45.24,9,15,388,Paris Saint-Germain,Ligue 1,2022-2023
Rémy Cabella,7.56,40,60.61,7,19,482,Lille,Ligue 1,2022-2023
Martin Terrier,7.54,9,39.13,6,4,213,Stade Rennais,Ligue 1,2022-2023
Branco van den Boomen,7.52,19,57.58,1,13,589,Toulouse,Ligue 1,2022-2023
Kylian Mbappé,7.42,74,40.44,28,17,485,Paris Saint-Germain,Ligue 1,2022-2023
Benjamin Bourigeaud,7.39,14,45.16,7,15,573,Stade Rennais,Ligue 1,2022-2023
Alexandre Lacazette,7.38,38,57.58,21,6,396,Olympique Lyonnais,Ligue 1,2022-2023
Teji Savanier,7.34,72,63.16,1,9,682,Montpellier,Ligue 1,2022-2023
Dango Ouattara,7.29,28,44.44,5,6,286,Lorient,Ligue 1,2022-2023
Benjamin Lecomte,7.26,1,100.0,0,0,232,Montpellier,Ligue 1,2022-2023
Florian Sotoca,7.26,16,47.06,12,11,455,RC Lens,Ligue 1,2022-2023
Przemysław Frankowski,7.21,13,46.43,1,10,525,RC Lens,Ligue 1,2022-2023
Nabil Bentaleb,7.21,62,65.96,0,3,458,Angers,Ligue 1,2022-2023
Aleksandr Golovin,7.21,27,65.85,4,6,427,AS Monaco,Ligue 1,2022-2023
Franck Honorat,7.2,15,30.0,4,15,469,Stade Brestois,Ligue 1,2022-2023
Edon Zhegrova,7.2,53,49.53,4,12,247,Lille,Ligue 1,2022-2023
Enzo Le Fée,7.19,68,50.37,1,10,617,Lorient,Ligue 1,2022-2023
Jean-Ricner Bellegarde,7.19,57,64.04,2,6,435,RC Strasbourg,Ligue 1,2022-2023
Florian Tardieu,7.18,7,70.0,0,0,129,Troyes,Ligue 1,2022-2023
Gaëtan Laborde,7.17,28,50.91,7,9,408,Nice,Ligue 1,2022-2023
Dante,7.16,8,61.54,2,4,296,Nice,Ligue 1,2022-2023
Andrei Girotto,7.16,3,33.33,1,3,327,Nantes,Ligue 1,2022-2023
Jonathan David,7.15,29,42.65,19,9,340,Lille,Ligue 1,2022-2023
Benjamin André,7.15,19,57.58,1,3,469,Lille,Ligue 1,2022-2023
Jérémy Doku,7.15,96,66.21,0,6,215,Stade Rennais,Ligue 1,2022-2023
Yehvann Diouf,7.15,2,100.0,0,0,214,Stade de Reims,Ligue 1,2022-2023
Loïs Openda,7.14,19,40.43,14,12,265,RC Lens,Ligue 1,2022-2023
Pierre Lees Melou,7.14,22,64.71,1,6,330,Stade Brestois,Ligue 1,2022-2023
Hamza Sakhi,7.12,15,71.43,0,4,231,Auxerre,Ligue 1,2022-2023
Alexis Sánchez,7.12,43,57.33,11,13,433,Olympique de Marseille,Ligue 1,2022-2023
Wissam Ben Yedder,7.12,23,47.92,14,6,250,AS Monaco,Ligue 1,2022-2023
Corentin Tolisso,7.11,7,50.0,2,13,289,Olympique Lyonnais,Ligue 1,2022-2023
Jonathan Clauss,7.11,32,54.24,3,14,471,Olympique de Marseille,Ligue 1,2022-2023
