Player Name,Rating,Successful Dribbles,Successful Dribbles (%),Big Chances Missed,Big Chances Created,Possession Lost,Team Name,League,Season
Robert Lewandowski,7.83,22,51.16,25,9,316,FC Bayern München,Bundesliga,2020-2021
Joshua Kimmich,7.72,29,78.38,1,9,424,FC Bayern München,Bundesliga,2020-2021
Jadon Sancho,7.55,77,55.8,6,14,498,Borussia Dortmund,Bundesliga,2020-2021
Erling Haaland,7.54,30,63.83,19,5,216,Borussia Dortmund,Bundesliga,2020-2021
Maximilian Arnold,7.44,17,89.47,0,5,394,VfL Wolfsburg,Bundesliga,2020-2021
Andrej Kramarić,7.42,25,50.0,10,6,366,TSG Hoffenheim,Bundesliga,2020-2021
Thomas Müller,7.4,27,75.0,6,15,559,FC Bayern München,Bundesliga,2020-2021
Raphaël Guerreiro,7.4,32,66.67,2,14,388,Borussia Dortmund,Bundesliga,2020-2021
Filip Kostić,7.39,24,40.0,6,22,762,Eintracht Frankfurt,Bundesliga,2020-2021
André Silva,7.36,26,45.61,18,8,383,Eintracht Frankfurt,Bundesliga,2020-2021
Mats Hummels,7.35,7,70.0,5,1,349,Borussia Dortmund,Bundesliga,2020-2021
Christopher Nkunku,7.31,36,59.02,7,10,366,RB Leipzig,Bundesliga,2020-2021
Leon Bailey,7.3,74,54.41,4,8,466,Bayer 04 Leverkusen,Bundesliga,2020-2021
Max Kruse,7.3,11,61.11,3,6,253,1. FC Union Berlin,Bundesliga,2020-2021
Serge Gnabry,7.28,24,47.06,7,12,299,FC Bayern München,Bundesliga,2020-2021
Vincenzo Grifo,7.27,31,54.39,3,9,434,SC Freiburg,Bundesliga,2020-2021
Jonas Hofmann,7.25,16,45.71,3,9,342,Borussia M'gladbach,Bundesliga,2020-2021
Leon Goretzka,7.24,12,66.67,4,5,181,FC Bayern München,Bundesliga,2020-2021
Wout Weghorst,7.22,18,54.55,18,10,390,VfL Wolfsburg,Bundesliga,2020-2021
Nicolás González,7.21,19,63.33,5,4,161,VfB Stuttgart,Bundesliga,2020-2021
Angeliño,7.2,16,50.0,3,5,501,RB Leipzig,Bundesliga,2020-2021
Willi Orbán,7.2,8,72.73,2,2,299,RB Leipzig,Bundesliga,2020-2021
Lars Stindl,7.2,10,62.5,4,8,284,Borussia M'gladbach,Bundesliga,2020-2021
Christopher Trimmel,7.18,10,50.0,0,6,504,1. FC Union Berlin,Bundesliga,2020-2021
Edmond Tapsoba,7.17,20,64.52,0,1,336,Bayer 04 Leverkusen,Bundesliga,2020-2021
Marcel Sabitzer,7.16,15,62.5,2,7,363,RB Leipzig,Bundesliga,2020-2021
Niklas Süle,7.15,11,68.75,0,0,145,FC Bayern München,Bundesliga,2020-2021
Matheus Cunha,7.15,82,59.85,8,6,473,Hertha BSC,Bundesliga,2020-2021
Nico Elvedi,7.14,4,66.67,1,0,182,Borussia M'gladbach,Bundesliga,2020-2021
Amos Pieper,7.13,8,72.73,1,1,287,Arminia Bielefeld,Bundesliga,2020-2021
Emre Can,7.13,30,83.33,1,5,286,Borussia Dortmund,Bundesliga,2020-2021
Ludwig Augustinsson,7.13,6,60.0,0,4,444,SV Werder Bremen,Bundesliga,2020-2021
Saša Kalajdžić,7.13,15,48.39,9,5,343,VfB Stuttgart,Bundesliga,2020-2021
Borna Sosa,7.12,27,65.85,0,10,447,VfB Stuttgart,Bundesliga,2020-2021
Kingsley Coman,7.11,56,60.87,2,11,318,FC Bayern München,Bundesliga,2020-2021
Daichi Kamada,7.11,33,53.23,6,9,409,Eintracht Frankfurt,Bundesliga,2020-2021
Marco Reus,7.11,42,64.62,10,12,341,Borussia Dortmund,Bundesliga,2020-2021
Matthias Ginter,7.11,10,90.91,0,3,395,Borussia M'gladbach,Bundesliga,2020-2021
Dayot Upamecano,7.1,13,72.22,0,1,300,RB Leipzig,Bundesliga,2020-2021
Ondrej Duda,7.1,51,70.83,3,3,510,1. FC Köln,Bundesliga,2020-2021
Maxence Lacroix,7.09,13,81.25,2,0,335,VfL Wolfsburg,Bundesliga,2020-2021
Florian Grillitsch,7.09,17,80.95,2,4,234,TSG Hoffenheim,Bundesliga,2020-2021
Ellyes Skhiri,7.08,15,68.18,3,1,265,1. FC Köln,Bundesliga,2020-2021
Silas Katompa Mvumpa,7.07,48,55.81,2,8,314,VfB Stuttgart,Bundesliga,2020-2021
Florian Neuhaus,7.07,44,70.97,3,5,398,Borussia M'gladbach,Bundesliga,2020-2021
Dani Olmo,7.06,31,47.69,3,8,448,RB Leipzig,Bundesliga,2020-2021
Manuel Akanji,7.06,9,90.0,3,0,195,Borussia Dortmund,Bundesliga,2020-2021
