Player Name,Rating,Successful Dribbles,Successful Dribbles (%),Big Chances Missed,Big Chances Created,Possession Lost,Team Name,League,Season
Papu Gómez,7.85,76,59.84,7,22,686,Atalanta,Serie A,2018-2019
Cristiano Ronaldo,7.66,45,52.94,16,9,339,Juventus,Serie A,2018-2019
Suso,7.61,66,67.35,2,19,613,Milan,Serie A,2018-2019
Rodrigo de Paul,7.57,81,57.86,6,15,756,Udinese,Serie A,2018-2019
Josip Iličić,7.47,78,58.65,10,11,511,Atalanta,Serie A,2018-2019
Lorenzo Insigne,7.44,26,54.17,10,6,332,Napoli,Serie A,2018-2019
Fabio Quagliarella,7.38,19,51.35,15,7,466,U.C Sampdoria,Serie A,2018-2019
Hakan Çalhanoğlu,7.37,31,64.58,4,8,508,Milan,Serie A,2018-2019
Dries Mertens,7.37,18,46.15,9,17,342,Napoli,Serie A,2018-2019
Fabián Ruiz,7.36,36,70.59,2,6,287,Napoli,Serie A,2018-2019
Luis Alberto,7.34,24,58.54,3,7,486,Lazio,Serie A,2018-2019
Duván Zapata,7.32,40,48.19,12,16,478,Atalanta,Serie A,2018-2019
Marcelo Brozović,7.3,22,68.75,0,6,441,Inter,Serie A,2018-2019
Leonardo Pavoletti,7.28,9,64.29,7,2,381,Cagliari,Serie A,2018-2019
Paulo Dybala,7.26,50,54.95,1,3,357,Juventus,Serie A,2018-2019
Edin Džeko,7.25,34,49.28,13,6,393,Roma,Serie A,2018-2019
Arkadiusz Milik,7.24,8,47.06,14,4,190,Napoli,Serie A,2018-2019
Stephan El Shaarawy,7.24,44,53.66,6,9,303,Roma,Serie A,2018-2019
Aleksandar Kolarov,7.24,30,55.56,1,8,548,Roma,Serie A,2018-2019
Miralem Pjanić,7.24,11,64.71,0,8,295,Juventus,Serie A,2018-2019
Mario Mandžukić,7.23,5,62.5,5,5,237,Juventus,Serie A,2018-2019
Erick Pulgar,7.22,12,75.0,0,2,401,Bologna,Serie A,2018-2019
Ivan Perišić,7.21,23,41.82,8,12,566,Inter,Serie A,2018-2019
José Callejón,7.2,15,51.72,7,12,384,Napoli,Serie A,2018-2019
Krzysztof Piątek,7.2,16,53.33,9,5,313,Milan,Serie A,2018-2019
Camillo Ciano,7.19,18,36.73,2,11,560,Frosinone,Serie A,2018-2019
Faouzi Ghoulam,7.18,1,25.0,1,6,211,Napoli,Serie A,2018-2019
Armando Izzo,7.18,9,64.29,2,1,462,Torino,Serie A,2018-2019
Andrea Belotti,7.16,36,42.86,14,6,528,Torino,Serie A,2018-2019
Jordan Veretout,7.16,21,65.63,1,8,513,Fiorentina,Serie A,2018-2019
Kalidou Koulibaly,7.15,11,55.0,4,0,330,Napoli,Serie A,2018-2019
Cristian Ansaldi,7.15,53,66.25,0,5,431,Torino,Serie A,2018-2019
Iago Falque,7.15,18,43.9,7,3,323,Torino,Serie A,2018-2019
Cristiano Biraghi,7.14,15,57.69,1,10,650,Fiorentina,Serie A,2018-2019
Cristián Zapata,7.14,2,66.67,0,1,61,Milan,Serie A,2018-2019
Alex Sandro,7.14,29,50.88,3,2,456,Juventus,Serie A,2018-2019
Domenico Berardi,7.13,46,48.42,6,6,554,Sassuolo,Serie A,2018-2019
Lorenzo Pellegrini,7.13,27,61.36,3,6,355,Roma,Serie A,2018-2019
Robin Gosens,7.13,20,50.0,1,3,378,Atalanta,Serie A,2018-2019
Ciro Immobile,7.13,31,37.8,18,12,421,Lazio,Serie A,2018-2019
Matteo Politano,7.13,47,55.95,5,9,551,Inter,Serie A,2018-2019
Domenico Criscito,7.13,21,65.63,0,7,555,Genoa,Serie A,2018-2019
Stefano Sensi,7.13,19,54.29,1,7,294,Sassuolo,Serie A,2018-2019
João Cancelo,7.12,61,71.76,2,5,364,Juventus,Serie A,2018-2019
Bartłomiej Drągowski,7.12,0,0.0,0,0,196,Empoli,Serie A,2018-2019
Emre Can,7.12,26,74.29,0,4,198,Juventus,Serie A,2018-2019
Darijo Srna,7.12,11,73.33,1,3,436,Cagliari,Serie A,2018-2019
Francesco Acerbi,7.11,9,81.82,4,2,271,Lazio,Serie A,2018-2019
Gonzalo Higuaín,7.11,20,55.56,4,2,139,Milan,Serie A,2018-2019
Piotr Zieliński,7.11,36,67.92,8,6,347,Napoli,Serie A,2018-2019
Giorgio Chiellini,7.1,4,80.0,1,0,231,Juventus,Serie A,2018-2019
Merih Demiral,7.1,4,80.0,0,1,98,Sassuolo,Serie A,2018-2019
Jasmin Kurtić,7.1,24,68.57,2,4,347,SPAL,Serie A,2018-2019
Germán Pezzella,7.09,4,80.0,0,2,261,Fiorentina,Serie A,2018-2019
Remo Freuler,7.08,26,57.78,3,7,398,Atalanta,Serie A,2018-2019
Roberto Gagliardini,7.08,5,55.56,2,1,138,Inter,Serie A,2018-2019
Steven​ N'Zonzi,7.08,13,68.42,3,3,252,Roma,Serie A,2018-2019
Alessio Romagnoli,7.08,1,100.0,0,0,176,Milan,Serie A,2018-2019
Ismaël Bennacer,7.08,66,77.65,0,4,443,Empoli,Serie A,2018-2019
Stefan de Vrij,7.07,4,100.0,3,0,150,Inter,Serie A,2018-2019
Milan Škriniar,7.07,7,63.64,3,0,214,Inter,Serie A,2018-2019
Joaquín Correa,7.06,70,56.91,12,9,286,Lazio,Serie A,2018-2019
Diego Perotti,7.05,18,64.29,2,4,125,Roma,Serie A,2018-2019
Federico Fazio,7.05,14,82.35,4,0,242,Roma,Serie A,2018-2019
Allan,7.05,41,64.06,0,6,358,Napoli,Serie A,2018-2019
Leonardo Bonucci,7.05,3,100.0,0,1,237,Juventus,Serie A,2018-2019
Rafael Tolói,7.05,9,81.82,1,4,219,Atalanta,Serie A,2018-2019
Raúl Albiol,7.05,1,50.0,0,2,130,Napoli,Serie A,2018-2019
Stefano Okaka,7.04,26,76.47,0,1,163,Udinese,Serie A,2018-2019
Alessio Cragno,7.04,0,0.0,0,0,430,Cagliari,Serie A,2018-2019
Gianluigi Donnarumma,7.04,0,0.0,0,0,198,Milan,Serie A,2018-2019
Mauro Icardi,7.04,9,42.86,16,6,207,Inter,Serie A,2018-2019
Alessandro Florenzi,7.03,8,32.0,2,7,397,Roma,Serie A,2018-2019
Daniele De Rossi,7.03,2,66.67,1,4,127,Roma,Serie A,2018-2019
Kwadwo Asamoah,7.03,40,61.54,0,1,378,Inter,Serie A,2018-2019
Nicolas N'Koulou,7.03,6,66.67,1,0,166,Torino,Serie A,2018-2019
Konstantinos Manolas,7.03,3,100.0,1,1,137,Roma,Serie A,2018-2019
Radja Nainggolan,7.02,27,67.5,1,7,304,Inter,Serie A,2018-2019
Mattia De Sciglio,7.02,8,61.54,0,3,246,Juventus,Serie A,2018-2019
Juan Cuadrado,7.02,19,59.38,2,2,185,Juventus,Serie A,2018-2019
Gianluca Caprari,7.01,18,54.55,0,1,194,U.C Sampdoria,Serie A,2018-2019
Ricardo Rodríguez,7.01,12,85.71,0,1,386,Milan,Serie A,2018-2019
Federico Santander,7.01,3,27.27,7,4,305,Bologna,Serie A,2018-2019
Nikola Milenković,7.01,11,84.62,2,0,405,Fiorentina,Serie A,2018-2019
Daniele Baselli,7.01,23,71.88,0,5,392,Torino,Serie A,2018-2019
Lucas Leiva,7.01,10,66.67,0,3,222,Lazio,Serie A,2018-2019
Dennis Praet,7.0,38,60.32,2,7,433,U.C Sampdoria,Serie A,2018-2019
Federico Chiesa,7.0,79,44.13,7,10,629,Fiorentina,Serie A,2018-2019
Christian Kouamé,6.99,43,51.81,5,8,563,Genoa,Serie A,2018-2019
Lorenzo Tonelli,6.99,6,100.0,0,0,157,U.C Sampdoria,Serie A,2018-2019
Rade Krunić,6.99,47,61.84,3,13,416,Empoli,Serie A,2018-2019
Mattia Bani,6.99,1,50.0,1,2,273,ChievoVerona,Serie A,2018-2019
Marten de Roon,6.99,8,50.0,0,2,341,Atalanta,Serie A,2018-2019
Riccardo Orsolini,6.99,31,43.06,3,5,425,Bologna,Serie A,2018-2019
Juan Musso,6.98,0,0.0,0,0,347,Udinese,Serie A,2018-2019
Federico Bernardeschi,6.98,21,52.5,1,6,240,Juventus,Serie A,2018-2019
Lyanco,6.98,10,58.82,0,1,134,Bologna,Serie A,2018-2019
Luca Cigarini,6.98,10,90.91,0,6,339,Cagliari,Serie A,2018-2019
Salvatore Sirigu,6.98,2,100.0,0,0,402,Torino,Serie A,2018-2019
Nikola Maksimović,6.98,4,57.14,0,0,74,Napoli,Serie A,2018-2019
Manuel Locatelli,6.98,21,70.0,0,6,259,Sassuolo,Serie A,2018-2019
Vitor Hugo,6.97,2,66.67,1,1,188,Fiorentina,Serie A,2018-2019
Luiz Felipe,6.97,3,60.0,0,1,133,Lazio,Serie A,2018-2019
Kévin Malcuit,6.97,34,53.97,0,4,325,Napoli,Serie A,2018-2019
Lautaro Martínez,6.97,13,46.43,7,4,186,Inter,Serie A,2018-2019
Luigi Sepe,6.96,0,0.0,0,0,454,Parma,Serie A,2018-2019
Franck Kessié,6.96,45,70.31,7,2,384,Milan,Serie A,2018-2019
Sergej Milinković-Savić,6.96,34,53.13,6,5,472,Lazio,Serie A,2018-2019
Marlon,6.96,4,66.67,1,0,91,Sassuolo,Serie A,2018-2019
Wojciech Szczęsny,6.96,0,0.0,0,0,133,Juventus,Serie A,2018-2019
Nicola Murru,6.96,16,50.0,0,9,583,U.C Sampdoria,Serie A,2018-2019
Gervinho,6.96,64,52.89,2,7,306,Parma,Serie A,2018-2019
Manuel Lazzari,6.96,65,54.62,0,10,542,SPAL,Serie A,2018-2019
Joachim Andersen,6.96,15,93.75,1,1,250,U.C Sampdoria,Serie A,2018-2019
Riccardo Gagliolo,6.96,5,55.56,1,3,398,Parma,Serie A,2018-2019
Kevin-Prince Boateng,6.95,0,0.0,3,1,112,Sassuolo,Serie A,2018-2019
José Luis Palomino,6.95,6,75.0,1,1,179,Atalanta,Serie A,2018-2019
Samir Handanović,6.95,0,0.0,0,0,188,Inter,Serie A,2018-2019
Gian Marco Ferrari,6.95,4,80.0,2,0,289,Sassuolo,Serie A,2018-2019
Blaise Matuidi,6.95,20,64.52,1,3,260,Juventus,Serie A,2018-2019
Koffi Djidji,6.95,15,100.0,0,0,125,Torino,Serie A,2018-2019
Marek Hamšík,6.95,6,66.67,0,0,118,Napoli,Serie A,2018-2019
Francesco Caputo,6.94,12,29.27,16,8,392,Empoli,Serie A,2018-2019
Grégoire Defrel,6.94,28,52.83,9,5,273,U.C Sampdoria,Serie A,2018-2019
Cristian Romero,6.94,15,93.75,2,1,184,Genoa,Serie A,2018-2019
Pasquale Schiattarella,6.94,10,71.43,0,1,278,SPAL,Serie A,2018-2019
Keita Baldé,6.93,20,58.82,5,3,141,Inter,Serie A,2018-2019
Senad Lulić,6.93,41,50.0,0,7,575,Lazio,Serie A,2018-2019
Andrea Petagna,6.93,30,43.48,10,3,387,SPAL,Serie A,2018-2019
Raffaele Maiello,6.93,20,83.33,0,3,301,Frosinone,Serie A,2018-2019
Berat Djimsiti,6.93,5,100.0,0,3,118,Atalanta,Serie A,2018-2019
Danilo,6.93,3,75.0,1,2,353,Bologna,Serie A,2018-2019
Cengiz Ünder,6.93,22,50.0,2,5,251,Roma,Serie A,2018-2019
Nicola Sansone,6.93,12,38.71,0,6,193,Bologna,Serie A,2018-2019
Mirko Valdifiori,6.93,2,66.67,0,2,116,SPAL,Serie A,2018-2019
Daniele Rugani,6.92,0,0.0,2,0,87,Juventus,Serie A,2018-2019
Thomas Strakosha,6.92,1,100.0,0,0,330,Lazio,Serie A,2018-2019
Luis Muriel,6.92,31,52.54,3,2,270,Fiorentina,Serie A,2018-2019
Marco Parolo,6.92,3,37.5,3,8,330,Lazio,Serie A,2018-2019
Javier Pastore,6.91,15,78.95,5,0,90,Roma,Serie A,2018-2019
Gianluca Mancini,6.91,11,91.67,5,3,272,Atalanta,Serie A,2018-2019
Mateo Musacchio,6.91,3,60.0,2,1,192,Milan,Serie A,2018-2019
Manolo Gabbiadini,6.91,6,54.55,1,1,131,U.C Sampdoria,Serie A,2018-2019
Rodrigo Palacio,6.91,49,55.06,7,6,429,Bologna,Serie A,2018-2019
Samir Caetano,6.91,8,66.67,0,2,209,Udinese,Serie A,2018-2019
Lucas Biglia,6.91,3,75.0,0,0,106,Milan,Serie A,2018-2019
Marco Sportiello,6.91,0,0.0,0,0,389,Frosinone,Serie A,2018-2019
Mário Rui,6.91,11,52.38,0,3,290,Napoli,Serie A,2018-2019
Riccardo Meggiorini,6.9,6,50.0,4,2,237,ChievoVerona,Serie A,2018-2019
Danilo D'Ambrosio,6.9,13,40.63,1,11,389,Inter,Serie A,2018-2019
Rômulo,6.9,30,61.22,2,4,334,Lazio,Serie A,2018-2019
Leo Štulac,6.9,8,80.0,0,2,171,Parma,Serie A,2018-2019
Albin Ekdal,6.9,35,83.33,2,1,293,U.C Sampdoria,Serie A,2018-2019
Omar Colley,6.9,5,100.0,1,0,145,U.C Sampdoria,Serie A,2018-2019
Tiemoué Bakayoko,6.89,62,72.09,3,2,307,Milan,Serie A,2018-2019
Milan Badelj,6.89,29,78.38,0,0,163,Lazio,Serie A,2018-2019
Diego Farias,6.89,17,39.53,11,6,236,Empoli,Serie A,2018-2019
Sebastien De Maio,6.89,4,57.14,1,0,154,Udinese,Serie A,2018-2019
Goran Pandev,6.88,16,51.61,3,2,187,Genoa,Serie A,2018-2019
Ivan Radovanović,6.88,13,92.86,0,1,317,Genoa,Serie A,2018-2019
Douglas Costa,6.88,30,63.83,0,3,137,Juventus,Serie A,2018-2019
Nicolò Barella,6.88,42,62.69,1,3,613,Cagliari,Serie A,2018-2019
Bruno Alves,6.88,3,100.0,0,2,290,Parma,Serie A,2018-2019
Emanuele Giaccherini,6.88,26,60.47,1,6,429,ChievoVerona,Serie A,2018-2019
Hans Hateboer,6.88,14,35.0,5,6,419,Atalanta,Serie A,2018-2019
Álex Berenguer,6.88,33,50.0,0,6,374,Torino,Serie A,2018-2019
Timothy Castagne,6.88,20,51.28,4,3,312,Atalanta,Serie A,2018-2019
Davide Calabria,6.87,12,36.36,0,3,359,Milan,Serie A,2018-2019
Felipe Caicedo,6.87,16,80.0,6,1,147,Lazio,Serie A,2018-2019
Andrea Beghetto,6.87,7,33.33,1,6,484,Frosinone,Serie A,2018-2019
Bram Nuytinck,6.87,2,50.0,0,0,179,Udinese,Serie A,2018-2019
Roberto Inglese,6.87,21,56.76,7,2,300,Parma,Serie A,2018-2019
Rodrigo Bentancur,6.87,18,54.55,1,3,235,Juventus,Serie A,2018-2019
Thiago Cionek,6.87,4,33.33,1,2,359,SPAL,Serie A,2018-2019
