Player Name,Rating,Successful Dribbles,Successful Dribbles (%),Big Chances Missed,Big Chances Created,Possession Lost,Team Name,League,Season
Antoine Griezmann,7.74,47,62.67,9,24,466,Atlético Madrid,La Liga,2022-2023
Karim Benzema,7.47,20,47.62,18,14,231,Real Madrid,La Liga,2022-2023
Toni Kroos,7.42,9,47.37,0,7,259,Real Madrid,La Liga,2022-2023
Aleix García,7.4,13,59.09,1,12,327,Girona FC,La Liga,2022-2023
Robert Lewandowski,7.33,30,53.57,27,11,364,Barcelona,La Liga,2022-2023
Gerónimo Rulli,7.31,0,0.0,0,0,79,Villarreal,La Liga,2022-2023
Pedri,7.28,36,62.07,3,11,283,Barcelona,La Liga,2022-2023
Raphinha,7.27,45,46.39,8,17,495,Barcelona,La Liga,2022-2023
Federico Valverde,7.25,31,75.61,3,8,254,Real Madrid,La Liga,2022-2023
Dani Parejo,7.24,29,76.32,2,7,421,Villarreal,La Liga,2022-2023
Frenkie de Jong,7.24,35,63.64,2,8,298,Barcelona,La Liga,2022-2023
Éder Militão,7.24,11,64.71,2,1,251,Real Madrid,La Liga,2022-2023
Sergio Busquets,7.23,11,78.57,0,4,261,Barcelona,La Liga,2022-2023
Marco Asensio,7.21,23,76.67,6,9,193,Real Madrid,La Liga,2022-2023
Rodrigo de Paul,7.2,16,59.26,0,12,322,Atlético Madrid,La Liga,2022-2023
Iago Aspas,7.19,22,46.81,10,9,415,Celta Vigo,La Liga,2022-2023
Jordi Alba,7.18,4,50.0,0,12,262,Barcelona,La Liga,2022-2023
Ousmane Dembélé,7.18,52,50.98,6,9,312,Barcelona,La Liga,2022-2023
Sergi Darder,7.17,68,55.74,0,16,579,Espanyol,La Liga,2022-2023
Jeremías Ledesma,7.17,4,100.0,0,0,530,Cádiz,La Liga,2022-2023
José María Giménez,7.17,6,60.0,3,1,164,Atlético Madrid,La Liga,2022-2023
José Luis Gayà,7.16,25,69.44,1,10,494,Valencia,La Liga,2022-2023
Marc-André ter Stegen,7.15,0,0.0,0,0,221,Barcelona,La Liga,2022-2023
Enes Ünal,7.13,21,52.5,5,6,461,Getafe,La Liga,2022-2023
Thibaut Courtois,7.13,2,100.0,0,1,158,Real Madrid,La Liga,2022-2023
Gerard Gumbau,7.13,7,43.75,1,10,384,Elche,La Liga,2022-2023
Aurélien Tchouaméni,7.13,28,77.78,1,4,167,Real Madrid,La Liga,2022-2023
Kang-in Lee,7.13,90,72.58,2,14,482,Mallorca,La Liga,2022-2023
Lucas Robertone,7.12,27,48.21,1,13,408,Almería,La Liga,2022-2023
Mikel Merino,7.11,22,57.89,5,12,460,Real Sociedad,La Liga,2022-2023
Rodrygo,7.1,81,54.36,18,10,305,Real Madrid,La Liga,2022-2023
David López,7.1,6,100.0,1,1,130,Girona FC,La Liga,2022-2023
Jules Koundé,7.1,15,62.5,3,5,301,Barcelona,La Liga,2022-2023
Giovani Lo Celso,7.1,22,59.46,3,6,187,Villarreal,La Liga,2022-2023
Joselu,7.08,18,45.0,12,2,452,Espanyol,La Liga,2022-2023
Moi Gómez,7.08,27,71.05,1,5,307,Osasuna,La Liga,2022-2023
Antonio Raíllo,7.07,2,66.67,0,4,200,Mallorca,La Liga,2022-2023
Guido Rodríguez,7.07,22,73.33,1,0,272,Real Betis,La Liga,2022-2023
Aitor Fernández,7.07,0,0.0,0,0,276,Osasuna,La Liga,2022-2023
Gonzalo Escalante,7.06,7,77.78,2,2,133,Cádiz,La Liga,2022-2023
Jordi Masip,7.06,0,0.0,0,0,284,Real Valladolid,La Liga,2022-2023
Loïc Badé,7.06,6,75.0,0,0,122,Sevilla,La Liga,2022-2023
