Player Name,Rating,Successful Dribbles,Successful Dribbles (%),Big Chances Missed,Big Chances Created,Possession Lost,Team Name,League,Season
Neymar,8.84,142,66.98,9,22,561,Paris Saint-Germain,Ligue 1,2017-2018
Dimitri Payet,7.74,45,78.95,5,24,555,Olympique de Marseille,Ligue 1,2017-2018
Florian Thauvin,7.69,119,69.19,10,20,767,Olympique de Marseille,Ligue 1,2017-2018
Nabil Fekir,7.63,90,75.63,8,12,424,Olympique Lyonnais,Ligue 1,2017-2018
Malcom,7.57,93,65.96,7,14,589,Bordeaux,Ligue 1,2017-2018
Edinson Cavani,7.56,15,57.69,21,12,181,Paris Saint-Germain,Ligue 1,2017-2018
Ángel Di María,7.49,48,55.81,14,14,488,Paris Saint-Germain,Ligue 1,2017-2018
Dani Alves,7.47,28,66.67,0,6,369,Paris Saint-Germain,Ligue 1,2017-2018
Memphis Depay,7.45,59,54.13,9,14,575,Olympique Lyonnais,Ligue 1,2017-2018
Mario Balotelli,7.44,31,63.27,8,4,323,Nice,Ligue 1,2017-2018
Kylian Mbappé,7.39,82,57.75,16,12,357,Paris Saint-Germain,Ligue 1,2017-2018
Naïm Sliti,7.35,104,80.0,5,7,488,Dijon,Ligue 1,2017-2018
Fabinho,7.34,37,72.55,1,7,352,AS Monaco,Ligue 1,2017-2018
Marco Verratti,7.32,42,82.35,0,4,262,Paris Saint-Germain,Ligue 1,2017-2018
Dimitri Liénard,7.29,34,65.38,1,14,603,RC Strasbourg,Ligue 1,2017-2018
Mathieu Debuchy,7.27,6,40.0,2,1,254,Saint-Étienne,Ligue 1,2017-2018
Bertrand Traoré,7.27,52,62.65,5,3,367,Olympique Lyonnais,Ligue 1,2017-2018
Thiago Silva,7.25,1,100.0,0,0,76,Paris Saint-Germain,Ligue 1,2017-2018
Rémy Cabella,7.23,66,66.0,7,11,488,Saint-Étienne,Ligue 1,2017-2018
Alassane Pléa,7.23,68,66.67,12,6,398,Nice,Ligue 1,2017-2018
Nordi Mukiele,7.23,41,65.08,2,4,547,Montpellier,Ligue 1,2017-2018
Benjamin Bourigeaud,7.22,23,47.92,3,12,621,Stade Rennais,Ligue 1,2017-2018
Ronny Rodelin,7.22,57,77.03,9,12,585,Caen,Ligue 1,2017-2018
Léo Dubois,7.21,38,70.37,0,8,693,Nantes,Ligue 1,2017-2018
Tanguy Ndombélé,7.19,94,77.05,1,8,350,Olympique Lyonnais,Ligue 1,2017-2018
Marcelo,7.18,5,100.0,2,2,307,Olympique Lyonnais,Ligue 1,2017-2018
João Moutinho,7.17,21,72.41,1,10,417,AS Monaco,Ligue 1,2017-2018
