Player Name,Rating,Successful Dribbles,Successful Dribbles (%),Big Chances Missed,Big Chances Created,Appearances,Team Name,League,Season
Henrikh Mkhitaryan,7.59,80,59.26,8,27,31,Borussia Dortmund,Bundesliga,2015-2016
Robert Lewandowski,7.44,39,46.43,27,7,32,FC Bayern München,Bundesliga,2015-2016
Arturo Vidal,7.41,6,33.33,2,5,30,FC Bayern München,Bundesliga,2015-2016
Johannes Geis,7.4,8,100.0,0,8,28,FC Schalke 04,Bundesliga,2015-2016
İlkay Gündoğan,7.4,54,68.35,3,7,25,Borussia Dortmund,Bundesliga,2015-2016
Lars Bender,7.39,5,83.33,0,1,11,Bayer 04 Leverkusen,Bundesliga,2015-2016
Thiago Alcântara,7.39,49,59.76,2,5,27,FC Bayern München,Bundesliga,2015-2016
Raffael,7.39,79,56.83,10,7,31,Borussia M'gladbach,Bundesliga,2015-2016
Thomas Müller,7.38,37,49.33,9,11,31,FC Bayern München,Bundesliga,2015-2016
Granit Xhaka,7.35,29,82.86,0,4,28,Borussia M'gladbach,Bundesliga,2015-2016
Mats Hummels,7.31,23,82.14,2,1,30,Borussia Dortmund,Bundesliga,2015-2016
Marcel Risse,7.3,45,54.88,0,13,33,1. FC Köln,Bundesliga,2015-2016
Pascal Groß,7.29,19,50.0,3,10,32,FC Ingolstadt 04,Bundesliga,2015-2016
Pierre-Emerick Aubameyang,7.29,15,40.54,20,9,31,Borussia Dortmund,Bundesliga,2015-2016
Daniel Ginczek,7.29,15,68.18,3,1,7,VfB Stuttgart,Bundesliga,2015-2016
Joël Matip,7.27,12,75.0,4,3,34,FC Schalke 04,Bundesliga,2015-2016
Sandro Wagner,7.26,16,39.02,6,9,32,Darmstadt 98,Bundesliga,2015-2016
Xabi Alonso,7.25,4,50.0,0,3,26,FC Bayern München,Bundesliga,2015-2016
Papy Djilobodji,7.25,8,88.89,1,1,14,SV Werder Bremen,Bundesliga,2015-2016
Zlatko Junuzović,7.25,18,33.96,1,9,30,SV Werder Bremen,Bundesliga,2015-2016
Ibrahima Traoré,7.24,74,63.79,2,10,24,Borussia M'gladbach,Bundesliga,2015-2016
Philipp Lahm,7.23,11,57.89,1,5,26,FC Bayern München,Bundesliga,2015-2016
Naldo,7.23,11,78.57,0,1,29,VfL Wolfsburg,Bundesliga,2015-2016
Arjen Robben,7.23,26,49.06,4,4,15,FC Bayern München,Bundesliga,2015-2016
Douglas Costa,7.23,90,53.89,5,11,27,FC Bayern München,Bundesliga,2015-2016
Mahmoud Dahoud,7.21,32,56.14,1,8,32,Borussia M'gladbach,Bundesliga,2015-2016
Hakan Çalhanoğlu,7.2,32,54.24,2,11,31,Bayer 04 Leverkusen,Bundesliga,2015-2016
Roman Weidenfeller,7.2,0,0.0,0,0,1,Borussia Dortmund,Bundesliga,2015-2016
Tom Mickel,7.2,0,0.0,0,0,1,Hamburger SV,Bundesliga,2015-2016
Lars Stindl,7.2,37,45.68,11,9,30,Borussia M'gladbach,Bundesliga,2015-2016
Jérôme Boateng,7.19,4,80.0,0,5,19,FC Bayern München,Bundesliga,2015-2016
Benjamin Henrichs,7.19,0,0.0,0,0,9,Bayer 04 Leverkusen,Bundesliga,2015-2016
Javi Martínez,7.19,1,20.0,0,5,16,FC Bayern München,Bundesliga,2015-2016
Marco Reus,7.18,32,50.79,10,9,26,Borussia Dortmund,Bundesliga,2015-2016
Alexander Meier,7.17,5,45.45,5,3,19,Eintracht Frankfurt,Bundesliga,2015-2016
Javier Hernández,7.17,22,44.9,8,7,28,Bayer 04 Leverkusen,Bundesliga,2015-2016
Medhi Benatia,7.17,6,100.0,0,1,14,FC Bayern München,Bundesliga,2015-2016
Leon Goretzka,7.17,29,59.18,3,5,25,FC Schalke 04,Bundesliga,2015-2016
Alexander Hack,7.16,7,70.0,1,0,7,1. FSV Mainz 05,Bundesliga,2015-2016
Ricardo Rodríguez,7.15,19,63.33,0,5,24,VfL Wolfsburg,Bundesliga,2015-2016
Tobias Sippel,7.15,0,0.0,0,0,2,Borussia M'gladbach,Bundesliga,2015-2016
David Alaba,7.15,15,71.43,0,2,30,FC Bayern München,Bundesliga,2015-2016
Mërgim Mavraj,7.15,2,100.0,0,0,12,1. FC Köln,Bundesliga,2015-2016
John Brooks,7.15,5,62.5,1,1,23,Hertha BSC,Bundesliga,2015-2016
Vieirinha,7.14,27,62.79,2,4,26,VfL Wolfsburg,Bundesliga,2015-2016
Kingsley Coman,7.13,85,55.19,5,7,23,FC Bayern München,Bundesliga,2015-2016
Matthias Ginter,7.13,12,75.0,0,5,24,Borussia Dortmund,Bundesliga,2015-2016
Daniel Baier,7.13,9,42.86,1,4,28,FC Augsburg,Bundesliga,2015-2016
Oliver Baumann,7.12,0,0.0,0,0,33,TSG Hoffenheim,Bundesliga,2015-2016
Ömer Toprak,7.12,5,83.33,2,0,19,Bayer 04 Leverkusen,Bundesliga,2015-2016
Jonas Hector,7.12,33,54.1,0,5,32,1. FC Köln,Bundesliga,2015-2016
