Player Name,Rating,Successful Dribbles,Successful Dribbles (%),Big Chances Missed,Big Chances Created,Appearances,Team Name,League,Season
Demetri Mitchell,8.0,2,66.67,0,0,1,Manchester United,Premier League,2016-2017
Sergio Romero,8.0,0,0.0,0,0,2,Manchester United,Premier League,2016-2017
Alexis Sánchez,7.71,108,67.92,8,10,38,Arsenal,Premier League,2016-2017
Eden Hazard,7.68,143,76.88,8,3,36,Chelsea,Premier League,2016-2017
Paul Pogba,7.66,72,64.86,5,7,30,Manchester United,Premier League,2016-2017
Harry Kane,7.56,38,49.35,11,7,30,Tottenham Hotspur,Premier League,2016-2017
Philippe Coutinho,7.52,70,61.95,4,7,31,Liverpool,Premier League,2016-2017
Josh Harrop,7.5,1,100.0,0,0,1,Manchester United,Premier League,2016-2017
Mile Jedinak,7.5,0,0.0,0,0,1,Crystal Palace,Premier League,2016-2017
Kevin De Bruyne,7.5,52,66.67,3,24,36,Manchester City,Premier League,2016-2017
Dimitri Payet,7.48,47,58.02,2,5,18,West Ham United,Premier League,2016-2017
Christian Eriksen,7.46,27,43.55,3,16,36,Tottenham Hotspur,Premier League,2016-2017
Virgil van Dijk,7.45,8,100.0,0,1,21,Southampton,Premier League,2016-2017
Gabriel Jesus,7.4,12,63.16,3,3,10,Manchester City,Premier League,2016-2017
Jordan Henderson,7.38,5,45.45,0,3,24,Liverpool,Premier League,2016-2017
Cesc Fàbregas,7.37,12,100.0,0,11,29,Chelsea,Premier League,2016-2017
Sergio Agüero,7.36,78,62.9,13,6,31,Manchester City,Premier League,2016-2017
Ander Herrera,7.36,30,75.0,1,5,31,Manchester United,Premier League,2016-2017
Romelu Lukaku,7.35,63,66.32,7,8,37,Everton,Premier League,2016-2017
Nicolás Otamendi,7.34,11,73.33,0,2,30,Manchester City,Premier League,2016-2017
Zlatan Ibrahimović,7.33,17,51.52,18,8,28,Manchester United,Premier League,2016-2017
Jan Vertonghen,7.31,26,96.3,0,0,33,Tottenham Hotspur,Premier League,2016-2017
Mesut Özil,7.31,32,64.0,4,9,33,Arsenal,Premier League,2016-2017
Gylfi Sigurðsson,7.3,32,47.06,2,16,38,Swansea City,Premier League,2016-2017
Vincent Kompany,7.28,2,100.0,0,1,11,Manchester City,Premier League,2016-2017
Daley Blind,7.25,7,77.78,0,3,23,Manchester United,Premier League,2016-2017
Eric Bailly,7.25,14,82.35,1,0,25,Manchester United,Premier League,2016-2017
Idrissa Gueye,7.25,26,74.29,2,2,33,Everton,Premier League,2016-2017
Phil Jones,7.25,5,71.43,0,1,18,Manchester United,Premier League,2016-2017
