Player Name,Rating,Successful Dribbles,Successful Dribbles (%),Big Chances Missed,Big Chances Created,Appearances,Team Name,League,Season
Papu Gómez,7.66,84,61.76,5,16,37,Atalanta,Serie A,2016-2017
Lorenzo Insigne,7.65,59,51.3,8,12,37,Napoli,Serie A,2016-2017
Luca Crosta,7.6,0,0.0,0,0,1,Cagliari,Serie A,2016-2017
Edin Džeko,7.59,34,58.62,29,8,37,Roma,Serie A,2016-2017
Dries Mertens,7.58,61,47.29,19,13,35,Napoli,Serie A,2016-2017
Marek Hamšík,7.52,40,64.52,4,10,38,Napoli,Serie A,2016-2017
Andrea Belotti,7.48,33,44.0,13,5,35,Torino,Serie A,2016-2017
Gonzalo Higuaín,7.43,53,71.62,12,9,38,Juventus,Serie A,2016-2017
Radja Nainggolan,7.41,30,73.17,3,12,37,Roma,Serie A,2016-2017
Federico Fazio,7.41,20,86.96,0,4,37,Roma,Serie A,2016-2017
Alex Sandro,7.39,49,67.12,1,5,27,Juventus,Serie A,2016-2017
Paulo Dybala,7.39,67,72.04,4,10,31,Juventus,Serie A,2016-2017
Felipe Anderson,7.38,117,55.71,3,13,36,Lazio,Serie A,2016-2017
Giorgio Chiellini,7.37,5,62.5,1,0,21,Juventus,Serie A,2016-2017
Mauro Icardi,7.36,13,68.42,12,4,34,Inter,Serie A,2016-2017
Miralem Pjanić,7.35,16,72.73,4,12,30,Juventus,Serie A,2016-2017
Jorginho,7.34,11,78.57,1,5,27,Napoli,Serie A,2016-2017
Kevin Strootman,7.34,15,62.5,2,12,33,Roma,Serie A,2016-2017
Mohamed Salah,7.33,36,54.55,16,13,31,Roma,Serie A,2016-2017
Daniele De Rossi,7.33,12,75.0,1,5,31,Roma,Serie A,2016-2017
José Callejón,7.32,12,57.14,10,9,37,Napoli,Serie A,2016-2017
Vlad Chiricheş,7.32,8,80.0,0,1,14,Napoli,Serie A,2016-2017
Domenico Berardi,7.32,33,58.93,2,10,21,Sassuolo,Serie A,2016-2017
Éver Banega,7.32,41,71.93,1,5,28,Inter,Serie A,2016-2017
Lucas Biglia,7.29,16,88.89,2,4,29,Lazio,Serie A,2016-2017
Nikola Maksimović,7.29,9,90.0,0,0,8,Napoli,Serie A,2016-2017
Diego Perotti,7.29,53,68.83,2,7,32,Roma,Serie A,2016-2017
Francesco Acerbi,7.27,19,90.48,1,0,38,Sassuolo,Serie A,2016-2017
Mattia Caldara,7.27,7,87.5,3,0,30,Atalanta,Serie A,2016-2017
Suso,7.27,75,61.98,2,9,34,Milan,Serie A,2016-2017
Leandro Paredes,7.27,14,82.35,0,5,27,Roma,Serie A,2016-2017
Kalidou Koulibaly,7.26,10,83.33,0,1,28,Napoli,Serie A,2016-2017
Dani Alves,7.26,20,66.67,0,2,19,Juventus,Serie A,2016-2017
Giacomo Bonaventura,7.26,60,65.93,1,3,19,Milan,Serie A,2016-2017
Adem Ljajić,7.25,59,71.08,2,12,33,Torino,Serie A,2016-2017
Marcos Alonso,7.25,6,75.0,0,0,2,Fiorentina,Serie A,2016-2017
Medhi Benatia,7.24,10,90.91,0,1,15,Juventus,Serie A,2016-2017
Francesco Magnanelli,7.23,5,71.43,0,0,15,Sassuolo,Serie A,2016-2017
Federico Viviani,7.22,9,81.82,0,4,17,Bologna,Serie A,2016-2017
Keita Baldé,7.21,53,54.64,1,6,31,Lazio,Serie A,2016-2017
Stefan de Vrij,7.21,9,100.0,0,3,27,Lazio,Serie A,2016-2017
Lorenzo Tonelli,7.2,0,0.0,0,0,3,Napoli,Serie A,2016-2017
Daniele Rugani,7.2,4,80.0,0,1,15,Juventus,Serie A,2016-2017
Filippo Melegoni,7.2,0,0.0,0,0,1,Atalanta,Serie A,2016-2017
Raffaele Maiello,7.2,2,100.0,0,1,1,Empoli,Serie A,2016-2017
Gabriel Paletta,7.2,2,66.67,0,2,30,Milan,Serie A,2016-2017
Leonardo Bonucci,7.2,4,66.67,2,1,29,Juventus,Serie A,2016-2017
Andrea Masiello,7.19,4,100.0,1,0,35,Atalanta,Serie A,2016-2017
Davide Astori,7.19,17,85.0,1,2,34,Fiorentina,Serie A,2016-2017
Konstantinos Manolas,7.19,11,91.67,2,0,33,Roma,Serie A,2016-2017
Miranda,7.19,17,89.47,2,0,32,Inter,Serie A,2016-2017
Senad Lulić,7.17,49,63.64,1,12,31,Lazio,Serie A,2016-2017
Marcelo Brozović,7.17,21,70.0,1,5,23,Inter,Serie A,2016-2017
Samir Caetano,7.16,19,79.17,0,2,21,Udinese,Serie A,2016-2017
Hernanes,7.16,7,87.5,0,2,10,Juventus,Serie A,2016-2017
Emerson Palmieri,7.16,45,71.43,0,3,25,Roma,Serie A,2016-2017
Ciro Immobile,7.16,35,41.67,17,5,36,Lazio,Serie A,2016-2017
Gerard Deulofeu,7.15,49,53.85,3,8,17,Milan,Serie A,2016-2017
Luca Cigarini,7.15,2,100.0,0,2,4,U.C Sampdoria,Serie A,2016-2017
Sami Khedira,7.14,15,75.0,7,5,31,Juventus,Serie A,2016-2017
Iago Falque,7.13,29,55.77,3,7,35,Torino,Serie A,2016-2017
Borja Valero,7.11,31,60.78,1,3,33,Fiorentina,Serie A,2016-2017
Gastón Brugman,7.11,21,75.0,1,2,27,Pescara,Serie A,2016-2017
Cesare Bovo,7.11,1,100.0,0,0,14,Pescara,Serie A,2016-2017
Alessio Romagnoli,7.1,2,66.67,1,1,27,Milan,Serie A,2016-2017
Ivan Strinić,7.1,9,75.0,0,2,12,Napoli,Serie A,2016-2017
Danilo Avelar,7.1,3,75.0,0,0,3,Torino,Serie A,2016-2017
Luis Alberto,7.1,8,100.0,0,1,9,Lazio,Serie A,2016-2017
Francesco Totti,7.09,2,66.67,0,5,18,Roma,Serie A,2016-2017
Davide Santon,7.09,16,80.0,0,1,14,Inter,Serie A,2016-2017
Simone Verdi,7.09,51,61.45,1,6,28,Bologna,Serie A,2016-2017
José Sosa,7.08,17,94.44,0,4,18,Milan,Serie A,2016-2017
Marco Parolo,7.08,0,0.0,2,2,34,Lazio,Serie A,2016-2017
Remo Freuler,7.08,26,61.9,4,5,33,Atalanta,Serie A,2016-2017
Matías Vecino,7.08,35,77.78,1,2,32,Fiorentina,Serie A,2016-2017
Juan Cuadrado,7.08,46,60.53,2,10,30,Juventus,Serie A,2016-2017
Roberto Gagliardini,7.07,24,72.73,5,4,31,Inter,Serie A,2016-2017
Federico Bernardeschi,7.07,60,55.56,1,10,33,Fiorentina,Serie A,2016-2017
Blerim Džemaili,7.07,24,64.86,3,3,31,Bologna,Serie A,2016-2017
Grégoire Defrel,7.06,27,71.05,5,2,29,Sassuolo,Serie A,2016-2017
Josip Iličić,7.06,40,54.79,5,1,31,Fiorentina,Serie A,2016-2017
Emiliano Moretti,7.06,0,0.0,0,2,23,Torino,Serie A,2016-2017
Daniele Baselli,7.06,24,68.57,1,2,37,Torino,Serie A,2016-2017
