Player Name,Rating,Successful Dribbles,Successful Dribbles (%),Big Chances Missed,Big Chances Created,Appearances,Team Name,League,Season
Lionel Messi,8.36,126,61.46,9,25,34,Barcelona,La Liga,2016-2017
Lucas Pérez,8.2,0,0.0,0,1,1,Deportivo La Coruña,La Liga,2016-2017
Neymar,8.04,168,61.99,9,12,30,Barcelona,La Liga,2016-2017
Toni Kroos,7.68,28,80.0,0,10,29,Real Madrid,La Liga,2016-2017
Davy Roef,7.6,0,0.0,0,0,1,Deportivo La Coruña,La Liga,2016-2017
Cristiano Ronaldo,7.54,25,39.68,16,6,29,Real Madrid,La Liga,2016-2017
Luis Suárez,7.51,34,36.56,22,15,35,Barcelona,La Liga,2016-2017
José Ángel,7.44,12,85.71,0,1,7,Villarreal,La Liga,2016-2017
James Rodríguez,7.36,13,61.9,2,6,22,Real Madrid,La Liga,2016-2017
Jonathan Viera,7.34,61,65.59,2,12,31,Las Palmas,La Liga,2016-2017
Antoine Griezmann,7.33,26,48.15,6,12,36,Atlético Madrid,La Liga,2016-2017
Bruno Soriano,7.31,17,80.95,2,2,34,Villarreal,La Liga,2016-2017
Asier Illarramendi,7.3,30,75.0,1,3,34,Real Sociedad,La Liga,2016-2017
Filipe Luís,7.3,74,57.36,1,3,34,Atlético Madrid,La Liga,2016-2017
Marcos Llorente,7.29,27,79.41,0,1,32,Deportivo Alavés,La Liga,2016-2017
Diego Godín,7.29,13,100.0,1,1,31,Atlético Madrid,La Liga,2016-2017
Aleix Vidal,7.28,5,50.0,0,2,6,Barcelona,La Liga,2016-2017
Gerard Piqué,7.26,10,83.33,5,1,25,Barcelona,La Liga,2016-2017
Gareth Bale,7.26,26,46.43,2,3,19,Real Madrid,La Liga,2016-2017
Beñat Etxebarria,7.23,18,66.67,1,5,32,Athletic Club,La Liga,2016-2017
Sergio Ramos,7.23,7,100.0,4,0,28,Real Madrid,La Liga,2016-2017
Javier Mascherano,7.22,3,60.0,1,5,25,Barcelona,La Liga,2016-2017
Luka Modrić,7.2,42,75.0,0,6,25,Real Madrid,La Liga,2016-2017
Iago Aspas,7.19,36,53.73,8,8,32,Celta Vigo,La Liga,2016-2017
Pepe,7.18,3,75.0,0,1,13,Real Madrid,La Liga,2016-2017
David López,7.18,11,73.33,0,1,36,Espanyol,La Liga,2016-2017
Luis Hernández,7.18,4,100.0,0,1,19,Málaga,La Liga,2016-2017
José María Giménez,7.18,11,84.62,0,0,17,Atlético Madrid,La Liga,2016-2017
Steven​ N'Zonzi,7.18,30,73.17,4,3,35,Sevilla,La Liga,2016-2017
Danilo,7.18,13,59.09,0,2,17,Real Madrid,La Liga,2016-2017
Isco,7.17,53,60.23,1,6,30,Real Madrid,La Liga,2016-2017
Roberto Soldado,7.17,2,16.67,2,4,10,Villarreal,La Liga,2016-2017
Dani Ceballos,7.16,81,67.5,1,1,30,Real Betis,La Liga,2016-2017
Koke,7.16,14,53.85,1,5,36,Atlético Madrid,La Liga,2016-2017
Sandro Ramírez,7.15,25,49.02,5,5,30,Málaga,La Liga,2016-2017
Casemiro,7.15,7,58.33,2,0,25,Real Madrid,La Liga,2016-2017
Mateo Kovačić,7.15,60,81.08,0,4,27,Real Madrid,La Liga,2016-2017
Marlon,7.15,1,100.0,0,0,2,Barcelona,La Liga,2016-2017
Yeray Álvarez,7.15,14,87.5,2,0,26,Athletic Club,La Liga,2016-2017
Álvaro Morata,7.14,22,56.41,8,6,26,Real Madrid,La Liga,2016-2017
Dani Parejo,7.14,32,60.38,3,7,36,Valencia,La Liga,2016-2017
Mauricio Lemos,7.13,9,81.82,0,1,23,Las Palmas,La Liga,2016-2017
Andrés Iniesta,7.13,33,80.49,1,7,23,Barcelona,La Liga,2016-2017
Samuel Umtiti,7.12,8,80.0,0,0,25,Barcelona,La Liga,2016-2017
Gerard Moreno,7.12,47,49.47,3,4,37,Espanyol,La Liga,2016-2017
Iván Ramis,7.11,1,100.0,0,0,22,Eibar,La Liga,2016-2017
Stefan Savić,7.11,0,0.0,0,1,32,Atlético Madrid,La Liga,2016-2017
Raphaël Varane,7.11,4,57.14,0,2,23,Real Madrid,La Liga,2016-2017
Carlos Vela,7.11,59,55.66,4,4,35,Real Sociedad,La Liga,2016-2017
Manu Trigueros,7.11,35,63.64,1,3,37,Villarreal,La Liga,2016-2017
Aritz Aduriz,7.11,23,53.49,11,1,32,Athletic Club,La Liga,2016-2017
Ivan Rakitić,7.1,23,60.53,1,3,32,Barcelona,La Liga,2016-2017
Aymeric Laporte,7.1,7,63.64,1,2,33,Athletic Club,La Liga,2016-2017
Gorka Elustondo,7.1,0,0.0,1,1,2,Athletic Club,La Liga,2016-2017
Karim Benzema,7.1,18,51.43,9,2,29,Real Madrid,La Liga,2016-2017
Zouhair Feddal,7.09,4,80.0,0,2,27,Deportivo Alavés,La Liga,2016-2017
Enzo Pérez,7.09,28,71.79,0,0,27,Valencia,La Liga,2016-2017
Dani García,7.07,9,56.25,0,0,36,Eibar,La Liga,2016-2017
Ignacio Camacho,7.07,7,58.33,0,1,35,Málaga,La Liga,2016-2017
Willian José,7.07,12,57.14,1,3,28,Real Sociedad,La Liga,2016-2017
Rafinha Alcântara,7.07,12,46.15,0,3,18,Barcelona,La Liga,2016-2017
Florian Lejeune,7.06,13,72.22,1,1,34,Eibar,La Liga,2016-2017
Gabi,7.05,15,60.0,1,1,34,Atlético Madrid,La Liga,2016-2017
Carles Planas,7.05,3,75.0,0,0,12,Celta Vigo,La Liga,2016-2017
Rodrigo Ely,7.04,1,100.0,0,0,10,Deportivo Alavés,La Liga,2016-2017
Arda Turan,7.04,21,60.0,3,3,18,Barcelona,La Liga,2016-2017
Vicente Iborra,7.03,10,83.33,7,5,31,Sevilla,La Liga,2016-2017
Franco Vázquez,7.03,28,46.67,2,5,30,Sevilla,La Liga,2016-2017
Iñigo Martínez,7.03,13,92.86,0,2,34,Real Sociedad,La Liga,2016-2017
Celso Borges,7.03,10,71.43,2,3,34,Deportivo La Coruña,La Liga,2016-2017
Sergio Asenjo,7.03,0,0.0,0,0,24,Villarreal,La Liga,2016-2017
Pedro Mosquera,7.03,8,88.89,1,0,23,Deportivo La Coruña,La Liga,2016-2017
Mario Gaspar,7.03,16,44.44,0,4,36,Villarreal,La Liga,2016-2017
Víctor Laguardia,7.03,2,100.0,1,1,26,Deportivo Alavés,La Liga,2016-2017
Sergio Escudero,7.03,28,66.67,1,4,26,Sevilla,La Liga,2016-2017
Jaume Costa,7.03,21,60.0,0,3,31,Villarreal,La Liga,2016-2017
Saúl Ñíguez,7.02,33,51.56,2,4,33,Atlético Madrid,La Liga,2016-2017
Dimitrios Siovas,7.02,7,77.78,0,0,16,Leganés,La Liga,2016-2017
Daniele Bonera,7.02,0,0.0,0,0,6,Villarreal,La Liga,2016-2017
Sergio Busquets,7.02,18,85.71,0,0,33,Barcelona,La Liga,2016-2017
Marc-André ter Stegen,7.01,1,100.0,0,0,36,Barcelona,La Liga,2016-2017
Pedro Bigas,7.01,16,64.0,0,1,32,Las Palmas,La Liga,2016-2017
Manu García,7.01,8,50.0,0,0,25,Deportivo Alavés,La Liga,2016-2017
Jérémy Mathieu,7.01,2,66.67,1,0,13,Barcelona,La Liga,2016-2017
Petros,7.01,18,75.0,0,1,32,Real Betis,La Liga,2016-2017
Rubén Castro,7.0,19,55.88,7,2,35,Real Betis,La Liga,2016-2017
Deyverson,7.0,14,51.85,12,2,32,Deportivo Alavés,La Liga,2016-2017
Diego Reyes,7.0,10,90.91,1,0,34,Espanyol,La Liga,2016-2017
David Juncà,7.0,3,37.5,0,1,9,Eibar,La Liga,2016-2017
David Soria,7.0,0,0.0,0,0,1,Sevilla,La Liga,2016-2017
Clément Lenglet,7.0,3,75.0,0,1,17,Sevilla,La Liga,2016-2017
Alejandro Gálvez,7.0,1,100.0,0,0,19,Eibar,La Liga,2016-2017
Raúl Navas,7.0,11,84.62,0,2,32,Real Sociedad,La Liga,2016-2017
Ezequiel Garay,7.0,4,80.0,0,0,27,Valencia,La Liga,2016-2017
Sergi Roberto,6.99,39,72.22,0,3,32,Barcelona,La Liga,2016-2017
Marcelo,6.99,43,66.15,1,14,30,Real Madrid,La Liga,2016-2017
Rodri,6.99,3,50.0,0,1,23,Villarreal,La Liga,2016-2017
Samir Nasri,6.99,40,66.67,2,5,23,Sevilla,La Liga,2016-2017
Daniel Carvajal,6.98,23,45.1,0,3,23,Real Madrid,La Liga,2016-2017
Timothée Kolodziejczak,6.98,4,80.0,0,0,5,Sevilla,La Liga,2016-2017
Eneko Bóveda,6.97,10,66.67,0,0,19,Athletic Club,La Liga,2016-2017
